Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
6,"Dr. Klinck, Kristian",SPD,314,Schleswig-Holstein,NA,Direkt
7,"Dr. Stegner, Ralf",SPD,312,Schleswig-Holstein,NA,Direkt
4,"Rix, Sönke",SPD,308,Schleswig-Holstein,NA,Direkt
5,"Stein, Jens Mathias",SPD,295,Schleswig-Holstein,NA,Direkt
8,"Bergt, Bengt Axel",SPD,32,Schleswig-Holstein,NA,Direkt
13,"Junge, Frank Michael",SPD,352,Mecklenburg-Vorpommern,NA,Direkt
17,"Arlt, Johannes",SPD,311,Mecklenburg-Vorpommern,NA,Direkt
12,"Alabali-Radovan, Reem",SPD,294,Mecklenburg-Vorpommern,NA,Direkt
16,"von Malottki, Erik",SPD,248,Mecklenburg-Vorpommern,NA,Direkt
23,"Hakverdi, Metin",SPD,393,Hamburg,NA,Direkt
22,"Özoğuz, Saliha Aydan",SPD,387,Hamburg,NA,Direkt
18,"Droßmann, Falko",SPD,332,Hamburg,NA,Direkt
21,"Martin, Dorothee Katja Julia",SPD,307,Hamburg,NA,Direkt
24,"Saathoff, Johann",SPD,528,Niedersachsen,NA,Direkt
35,"Klingbeil, Lars",SPD,476,Niedersachsen,NA,Direkt
26,"Möller, Siemtje Victoria Regine Ilse Santjer",SPD,454,Niedersachsen,NA,Direkt
45,"Heil, Wolfgang-Hubertus",SPD,437,Niedersachsen,NA,Direkt
46,"Schraps, Johannes",SPD,432,Niedersachsen,NA,Direkt
51,"Mohrs, Falko (Mandat verzichtet)",SPD,421,Niedersachsen,NA,Direkt
47,"Dr. Miersch, Matthias",SPD,407,Niedersachsen,NA,Direkt
48,"Westphal, Bernd Helmut",SPD,387,Niedersachsen,NA,Direkt
49,"Kreiser, Dunja Eleonore Angelika",SPD,386,Niedersachsen,NA,Direkt
27,"Rohde, Dennis",SPD,382,Niedersachsen,NA,Direkt
29,"Schneider, Daniel Dominik",SPD,368,Niedersachsen,NA,Direkt
28,"Mittag, Susanne",SPD,367,Niedersachsen,NA,Direkt
50,"Dr. Pantazis, Christos",SPD,367,Niedersachsen,NA,Direkt
52,"Heiligenstadt, Frauke",SPD,367,Niedersachsen,NA,Direkt
40,"Völlers, Marja-Liisa",SPD,353,Niedersachsen,NA,Direkt
41,"Ahmetovic, Adis",SPD,349,Niedersachsen,NA,Direkt
43,"Schamber, Rebecca",SPD,337,Niedersachsen,NA,Direkt
42,"Fahimi, Yasmin (Mandat verzichtet)",SPD,329,Niedersachsen,NA,Direkt
53,"Dr. Philippi, Andreas Milan Gerhard (Mandat verzichtet)",SPD,322,Niedersachsen,NA,Direkt
39,"Gava, Manuel",SPD,303,Niedersachsen,NA,Direkt
37,"Blankenburg, Jakob",SPD,282,Niedersachsen,NA,Direkt
36,"Stadler, Svenja",SPD,31,Niedersachsen,NA,Direkt
55,"Schmidt, Uwe",SPD,369,Bremen,NA,Direkt
54,"Ryglewski, Sarah Janina",SPD,302,Bremen,NA,Direkt
60,"Eichwede, Sonja Katharina",SPD,321,Brandenburg,NA,Direkt
57,"Zierke, Stefan",SPD,296,Brandenburg,NA,Direkt
64,"Wallstein, Maja Scarlett",SPD,276,Brandenburg,NA,Direkt
62,"Lehmann, Sylvia",SPD,265,Brandenburg,NA,Direkt
58,"Fäscher, Ariane",SPD,263,Brandenburg,NA,Direkt
65,"Walter, Hannes Artur Gerhard",SPD,254,Brandenburg,NA,Direkt
59,"Koß, Simona",SPD,248,Brandenburg,NA,Direkt
72,"Dr. Diaby, Karamba",SPD,288,Sachsen-Anhalt,NA,Direkt
66,"Dr. Wollmann, Herbert",SPD,275,Sachsen-Anhalt,NA,Direkt
67,"Dr. Kersten, Franziska",SPD,262,Sachsen-Anhalt,NA,Direkt
69,"Kröber, Martin",SPD,253,Sachsen-Anhalt,NA,Direkt
74,"Budde, Katrin",SPD,NA,Sachsen-Anhalt,2,Liste
78,"Kleebank, Helmut",SPD,326,Berlin,NA,Direkt
81,"Kühnert, Kevin",SPD,267,Berlin,NA,Direkt
82,"Demir, Hakan",SPD,258,Berlin,NA,Direkt
83,"Kiziltepe, Cansel",SPD,NA,Berlin,2,Liste
75,"Klose, Annika Gisela",SPD,NA,Berlin,4,Liste
79,"Stüwe, Ruppert Fritz Johannes",SPD,NA,Berlin,5,Liste
101,"Dr. Lauterbach, Karl Wilhelm",SPD,456,Nordrhein-Westfalen,NA,Direkt
141,"Müntefering, Michelle-Jasmin Gabriele",SPD,434,Nordrhein-Westfalen,NA,Direkt
144,"Kaczmarek, Oliver",SPD,408,Nordrhein-Westfalen,NA,Direkt
145,"Thews, Michael Eckardt",SPD,406,Nordrhein-Westfalen,NA,Direkt
123,"Töns, Markus",SPD,405,Nordrhein-Westfalen,NA,Direkt
115,"Bas, Bärbel",SPD,403,Nordrhein-Westfalen,NA,Direkt
116,"Özdemir, Mahmut",SPD,394,Nordrhein-Westfalen,NA,Direkt
125,"Gerdes, Michael",SPD,391,Nordrhein-Westfalen,NA,Direkt
143,"Poschmann, Sabine",SPD,391,Nordrhein-Westfalen,NA,Direkt
117,"Vöpel, Dirk",SPD,388,Nordrhein-Westfalen,NA,Direkt
134,"Post, Achim Jürgen",SPD,384,Nordrhein-Westfalen,NA,Direkt
140,"Schäfer, Axel Helmut",SPD,383,Nordrhein-Westfalen,NA,Direkt
119,"Heidenblut, Dirk",SPD,378,Nordrhein-Westfalen,NA,Direkt
122,"Nickholz, Brian",SPD,374,Nordrhein-Westfalen,NA,Direkt
102,"Lindh, Helge Frederik",SPD,373,Nordrhein-Westfalen,NA,Direkt
133,"Schwartze, Stefan",SPD,365,Nordrhein-Westfalen,NA,Direkt
118,"Fiedler, Sebastian",SPD,363,Nordrhein-Westfalen,NA,Direkt
139,"Echeverria, Inaki Axel",SPD,354,Nordrhein-Westfalen,NA,Direkt
